premise,hypothesis,source,tag
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Зайцева Тимура Рустамовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере пяти тысяч рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Кадырова Александра Алибековича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере семи тысяч рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Данияра Виктора Руфимовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере шести тысяч рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Абдуллаева Ивана Самировича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 4000 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Абдуллаева Ивана Самировича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5000 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Иванова Азамата Руслановича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 6000 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Узбекистана, Иванова Азамата Руслановича, 1985 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 6500 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Казахстана, Абдуллаева Гульназа Ильдаровича, 1981 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5 700 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Узбекистана, Жураева Дильшода Равшановича, 1982 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере пяти тысяч трехсот рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Таджикистана, Курбанова Фирдавси Парвизовича, 1983 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 6400 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Кыргызстана, Усеналиева Эркинбека Болотбековича, 1984 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5 500 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Азербайджана, Мамедли Орхана Сахибовича, 1986 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5600 (пять тысяч шестьсот) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Таджикистана, Шарипова Фирдавса, 1979 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5000 (пять тысяч) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
